Instance,Terminal,Layer,X location,Y location,Voltage
hold12,VGND,li1,47.8400,59.8400,0.000085
hold11,VGND,li1,50.6000,65.2800,0.000154
hold10,VGND,li1,54.7400,81.6000,0.000074
hold9,VGND,li1,51.9800,81.6000,0.000072
hold8,VGND,li1,55.2000,65.2800,0.000165
hold7,VGND,li1,61.1800,65.2800,0.000176
hold6,VGND,li1,45.0800,70.7200,0.000416
hold5,VGND,li1,42.3200,59.8400,0.000074
hold4,VGND,li1,37.7200,65.2800,0.000114
hold3,VGND,li1,40.9400,70.7200,0.000360
hold2,VGND,li1,37.2600,87.0400,0.000052
hold1,VGND,li1,33.1200,81.6000,0.000044
clkload6,VGND,li1,76.8200,70.7200,0.000626
clkload5,VGND,li1,54.5100,70.7200,0.000524
